-4	-3	-2	-1	"WORD"	1	2	3	4	"from left"	"from right"
"telefonál"	"ha"	"minden"	"a"	"legnagyobb"	"rendben"	"van"	"akkor"	"odajön"	2	1
"szmokingban"	"felöltőben"	"egy"	"Népszínház"	"utcai"	"telefonfülkében"	"visszaakasztotta"	"a"	"kagylót"	1	1
"igazgatójára"	"vártak"	"A"	"hölgy"	"varatlanul"	"elalélt"	"Lehet"	"hogy"		2	1
"és"	"Feri"	"a"	"portás"	"masodpercenkent"	"közli"	"a"	"szanatórium"	"minden"	2	1
"kézzel"	"Ágnes"	"a"	"riadt"	"szemu"	"leány"	"körülbelül"	"úgy"	"néz"	1	1
"nem"	"mehet"	"panaszra"	"De"	"errol"	"dr"	"Wallenstein"	"nem"	"tud"	0	4
"érzi"	"hogy"	"rendkívüli"	"dolgok"	"tortennek"	"vele"	"Wallenstein"	"viszont"	"arra"	2	1
"fél"	"tíz"	"-"	"Valami"	"konnyu"	"piskótafélét"	"és"	"csak"	"ha"	1	1
"szimulálnia"	"gyomormérgezést"	"amit"	"olyan"	"kitunoen"	"megtanult"	"hadd"	"vacsorázzon"	"legalább"	2	1
"cirkuszi"	"erőművész"	"vagy"	"más"	"hasonlo"	"lehetett"	"volna"	"Szofinak"	"azonban"	4	3
"megmutatta"	"a"	"nyelvét"	"és"	"rogton"	"visszahúzta"	"és"	"becsukta"	"a"	4	1
"a"	"kövér"	"ember"	"nagyon"	"szomoru"	"gondolta"	"a"	"princessz"	"És"	4	0
"vonatkozásait"	"Vass"	"úrhoz"	"Aki"	"szomoru"	"és"	"kabátban"	"ül"	"a"	4	2
"kisleány"	"mint"	"maga"	"jó"	"hatassal"	"lesz"	"rám"	"-"	"Na"	2	2
"egy"	"boy"	"jön"	"Az"	"utolso"	"három"	"lépcsőt"	"hát"	"nyugodtan"	1	1
"vele"	"itt"	"beszélgetni"	"Az"	"ordog"	"nem"	"alszik"	"Vagy"	"ha"	1	2
"doktor"	"két"	"injekciót"	"adott"	"kesobb"	"Közben"	"Szabó"	"Gusztáv"	"elszántan"	4	1
"megyek"	"férjhez!"	"A"	"másik"	"szobabol"	"benyitott"	"az"	"apácaarcú"	"finom"	2	2
"kegy"	"és"	"nem"	"fogok"	"surun"	"élni"	"vele"	"hogy"	"ne"	2	1
"bánja"	"meg"	"""Ha"	"bolond"	"akkor"	"is"	"nagyon"	"szép!"""	"-"	2	3
"telefonálok"	"Egy"	"csomó"	"ezres"	"kozul"	"kiszedett"	"háromszáz"	"pengőt"	"és"	2	2
"princessz"	"aki"	"elhatározta"	"hogy"	"semmifele"	"ellentmondásba"	"senkivel"	"nem"	"bonyolódik"	2	1
"hogy"	"ha"	"báró"	"Udvarhelyin"	"kivul"	"még"	"száz"	"és"	"száz"	1	2
"még"	"száz"	"és"	"száz"	"kivalo"	"professzort"	"idehozhatnak"	"ez"	"mind"	1	1
"ember"	"A"	"hölgy"	"irdatlan"	"mennyisegu"	"altatót"	"vett"	"be"	"otthon"	1	2
"jól"	"Tisztában"	"van"	"az"	"illeto"	"idegállapotával"	"Kéne"	"egy"	"injekciót"	3	1
"De"	"nem"	"Az"	"asszony"	"valoszinuleg"	"meghal"	"Nem"	"fogja"	"bírni"	1	1
"beszélnek"	"és"	"a"	"férj"	"ettol"	"csakugyan"	"megnyugszik"	"Nem"	"tudja"	1	2
"konstatálták"	"rajta"	"az"	"idegösszeroppanás"	"elso"	"tüneteit"	"és"	"szeretnék"	"elkerülni"	4	1
"és"	"szeretnék"	"elkerülni"	"a"	"varhato"	"további"	"tüneteket"	"tehát"	"foglalkoznak"	2	2
"egy"	"erősbödő"	"dobbanás"	"egy"	"fellepo"	"tünet"	"gyorsabb"	"észlelését"	"és"	2	1
"ilyesmitől"	"Természetesen"	"ha"	"valami"	"szomoru"	"fordulat"	"következik"	"be"	"úgy"	1	1
"oxigéntömlőt"	"Szofi"	"főhercegnő"	"szó"	"nelkul"	"odaviszi"	"a"	"szegény"	"sárga"	1	1
"ismeri"	"az"	"esetet"	"A"	"Fovarosi"	"Kaszinóban"	"már"	"két"	"hónapja"	2	1
"néhány"	"évvel"	"idősebb"	"gyártulajdonosnőt"	"felesegul"	"vette"	"és"	"ezzel"	"vagyonos"	2	1
"színésznővel"	"bomlik"	"Az"	"asszonyt"	"eloszor"	"a"	"fjordokhoz"	"küldte"	"társaskirándulásra"	1	2
"látszik"	"ismét"	"helyreállt"	"az"	"elokelo"	"házaspár"	"példás"	"boldog"	"családi"	2	1
"galambok"	"és"	"egy"	"nap"	"kiderult"	"hogy"	"közben"	"is"	"akkor"	2	1
"kezdődik"	"a"	"nagy"	"és"	"donto"	"veszekedés"	"Jött"	"az"	"altató"	2	1
"és"	"a"	"felszívódott"	"méreg"	"kozott"	"Báró"	"Udvarhelyi"	"nyilvános"	"rendes"	1	2
"eljön"	"az"	"asszonyhoz"	"de"	"elozoleg"	"idetelefonáltat"	"Azt"	"mondja"	"a"	2	1
"úr"	"-"	"feleli"	"habozás"	"nelkul"	"mert"	"berendezkedett"	"erre"	"Mindenki"	1	2
"közkórház"	"vagy"	"szanatórium"	"egyaránt"	"kozombos"	"volt"	"előtte"	"Jött"	"megnézte"	1	1
"utoljára"	"egy"	"volt"	"osztrák"	"uralkodo"	"herceg"	"mondta"	"neki"	"És"	1	1
"hogy"	"nagyon"	"jószívű"	"Őméltósága"	"szomoru"	"iróniával"	"mosolygott"	"-"	"Látja"	1	1
"kézbe"	"letéve"	"És"	"most"	"szoljon"	"le"	"fiam"	"hogy"	"egy"	1	2
"-"	"Maga"	"még"	"új"	"nalunk"	"fiam"	"-"	"mondja"	"és"	2	1
"itt"	"valaki"	"a"	"személyzet"	"kozul"	"aki"	"mindig"	"tudja"	"hogy"	1	2
"éven"	"felüli"	"asszonyok"	"szeretnek"	"idonkent"	"sok"	"altatót"	"bevenni"	"és"	1	2
"van"	"egy"	"Szegő"	"Éva"	"nevu"	"színésznő"	"Az"	"ma"	"költözött"	1	1
"egy"	"Szegő"	"Éva"	"nevű"	"szineszno"	"Az"	"ma"	"költözött"	"be"	2	3
"dőlt"	"és"	"sírt"	"Megkopogtatta"	"hatulrol"	"a"	"vállát"	"-"	"Halló"	1	2
"nővér"	"itt"	"mindenben"	"a"	"donto"	"tényező"	"mert"	"a"	"Wallenstein"	2	1
"nem"	"hisz"	"a"	"nővér"	"szakszeru"	"mondatában"	"és"	"élesen"	"ingerlékenyen"	1	1
"is"	"gyorsan"	"közbeszól"	"A"	"gyonyoru"	"flanellruhás"	"nő"	"rezgő"	"orrcimpáin"	2	2
"mentő"	"körülmény"	"Két"	"nő"	"kevesbe"	"fáj"	"mint"	"egy"	"A"	2	1
"a"	"szemét"	"a"	"princessz"	"reszerol"	"rázúduló"	"orvosi"	"fogalomzavartól"	"-"	1	3
"nem"	"nyugszik"	"meg"	"akkor"	"jojjon"	"értem"	"a"	"125-ben"	"vagyok"	1	1
"princessz"	"-"	"ilyen"	"beteg"	"eseten"	"a"	"sisterseknek"	"Engem"	"az"	1	2
"mert"	"még"	"egy"	"csomó"	"hulyeseget"	"mond"	"Mindenesetre"	"megismerte"	"a"	1	1
"szemközti"	"épületbe"	"jött"	"be"	"eloszor"	"Fogalma"	"sincs"	"hogy"	"az"	2	2
"elvettem"	"a"	"revolverét"	"illetve"	"orulok"	"neki"	"mert"	"így"	"van"	1	1
"-"	"A"	"művésznő"	"már"	"delutan"	"ide"	"költözött"	"és"	"fogalma"	1	2
"gorombán"	"-"	"Maga"	"egy"	"kozonseges"	"boy"	"és"	"egy"	"vendéggel"	2	1
"Az"	"ifjú"	"férj"	"erőinek"	"vegso"	"határán"	"túl"	"valamerre"	"a"	1	1
"hogy"	"Berényi"	"és"	"maga"	"kozott"	"volt"	"valami"	"-"	"Azt"	1	2
"magát?"	"Maga"	"Csillaghegyről"	"ma"	"delutan"	"beköltözött"	"és"	"az"	"egész"	1	1
"nem"	"fontos"	"Itt"	"már"	"delutan"	"mindenki"	"tudta"	"hogy"	"a"	1	1
"a"	"pasas"	"többé"	"ne"	"jojjon"	"a"	"közelembe"	"és"	"mindig"	1	2
"venni"	"magamnak"	"a"	"Torbágy"	"nelkul"	"pláne"	"ha"	"Berényi"	"kibékül"	1	2
"művésznő"	"Mi"	"itt"	"nem"	"keresunk"	"keveset"	"Nem"	"kell"	"tudni"	1	1
"idén"	"a"	"Torbágy"	"is"	"igazgatosagi"	"tag"	"lett"	"és"	"azóta"	2	1
"van"	"itt"	"dolog"	"soron"	"kivul"	"és"	"ilyenkor"	"sietnek"	"haza"	1	2
"Azután"	"kimenne"	"ebből"	"a"	"szobabol"	"Legalább"	"Kovács"	"itt"	"volna!"	4	0
"nézte"	"a"	"csinos"	"élénk"	"szemu"	"leányt"	"-"	"Még"	"meggondolom"	4	1
"a"	"széttolt"	"ajtó"	"mellett"	"befele"	"mutatott"	"a"	"boy"	"-"	4	3
"egy"	"dupla"	"nelszonnal"	"lefogtam"	"hatulrol"	"Berényi"	"urat"	"és"	"felszólítottam"	1	4
"kívülről"	"tudta"	"már"	"a"	"tortenetet"	"Volt"	"egy"	"kislánya"	"egy"	4	0
"mint"	"az"	"iskolában"	"a"	"tortenelmi"	"drámákból"	"vagy"	"a"	"Faustból"	2	1
"egykori"	"férjeinek"	"Holott"	"Elek"	"errol"	"lebeszélte"	"-"	"Kerényiné"	"vagyok"	1	1
"többé"	"Imre"	"volt"	"az"	"elso"	"férjem"	"Tudja"	"úgy"	"éltünk"	3	1
"lezajlott"	"a"	"házaséletünk"	"Vass"	"felesegul"	"vette"	"Helént"	"én"	"akkor"	1	2
"jó"	"barátom"	"egy"	"Kerényi"	"nevu"	"plakátrajzoló"	"ez"	"rábeszélt"	"hogy"	4	1
"De"	"igen"	"-"	"és"	"miutan"	"körülnézett"	"a"	"princessz"	"fülébe"	1	1
"hiszem"	"egy"	"Kovács"	"Ágnes"	"nevu"	"leányt"	"is"	"behoztak"	"Szeretnék"	1	1
"jött"	"hogy"	"Kovács"	"Ágnes"	"nevu"	"ápolt"	"az"	"intézetben"	"nincs"	1	3
"feleli"	"hogy"	"szeretne"	"lehetőleg"	"egyedul"	"időzni"	"a"	"nap"	"folyamán"	2	4
"bocsánat"	"-"	"mondja"	"görögül"	"varatlanul"	"fordítva"	"a"	"nyelvjáráson"	"ó"	2	3
"Elek"	"őméltóságával"	"vacsorázom"	"ékszerek"	"nelkul"	"vagy"	"nem"	"a"	"megfelelő"	4	0
"vizes"	"borogatásokat"	"kellene"	"adni"	"attol"	"egy"	"beteg"	"jobban"	"lett"	4	4
"-"	"szerintem"	"nagyon"	"fontos"	"surgosen"	"pótolni"	"a"	"vérveszteséget"	"gyenge"	3	3
"pengőt"	"Nem"	"sok"	"de"	"ettol"	"a"	"fiútól"	"éppen"	"elég"	3	4
"és"	"volt"	"egy"	"behirdetett"	"onallo"	"estém"	"a"	"Zeneakadémián"	"Sajnos"	3	3
"szobájában"	"akit"	"anyagi"	"helyzete"	"kulonos"	"kísértésbe"	"hozhatott?"	"Ismét"	"elgondolkozott"	4	2
"kisegítő"	"nővért"	"vezettem"	"az"	"elso"	"emeletre"	"mert"	"nagybeteget"	"hoztak"	4	4
"urat"	"és"	"Szabó"	"Gusztáv"	"jojjon"	"vissza"	"Szabó"	"Gusztáv"	"visszajön"	2	1
"fiúnál"	"találtunk"	"egy"	"aranytárcát"	"amirol"	"beismerte"	"hogy"	"lopta"	"Talán"	4	3
"csenget"	"-"	"Feri"	"portás"	"jojjon"	"és"	"a"	"két"	"nővér"	1	4
"Portás"	"maga"	"velem"	"jön"	"megnezzuk"	"azt"	"a"	"liftet"	"Wallenstein"	4	3
"de"	"mégiscsak"	"átsuhant"	"az"	"elso"	"emeleti"	"folyosón"	"-"	"És"	2	2
"hogy"	"visszamondta"	"-"	"A"	"rendorseg"	"diszkréten"	"nyomoz"	"és"	"a"	1	2
"-"	"Ön"	"tegnap"	"este"	"korulbelul"	"abban"	"az"	"időben"	"mikor"	2	3
"Persze"	"neked"	"könnyű"	"Te"	"felesegul"	"veszed"	"a"	"Providec"	"Ilust"	1	4
"a"	"kis"	"elárusítólány"	"a"	"gorog"	"herceggel"	"flörtöl?"	"-"	"Mert"	4	2
"békén"	"és"	"kivetted"	"a"	"kezebol"	"a"	"láncot"	"-"	"Ez"	2	2
"kerten"	"Istenem"	"Istenem!"	"Csak"	"sikeruljon"	"A"	"régi"	"dépendance-nál"	"megállítja"	1	0
"tudja"	"hogy"	"Szabó"	"Gusztáv"	"mifele"	"összeköttetésekkel"	"bír"	"ebben"	"a"	2	2
"Majd"	"odahelyezik"	"magát"	"az"	"elso"	"emeletre"	"kitúr"	"valakit"	"a"	1	1
"Gusztávnak"	"aki"	"lehet"	"hogy"	"kulonos"	"összeköttetésekkel"	"rendelkezik"	"de"	"szó"	4	2
"összeköttetésekkel"	"rendelkezik"	"de"	"szó"	"nelkul"	"feláldozná"	"magát"	"érte"	"Emma"	1	2
"Szabó"	"Gusztáv"	"egy"	"okos"	"fiu"	"ez"	"most"	"már"	"tudja"	4	0
"találja"	"hogy"	"a"	"műtét"	"kitunoen"	"sikerült"	"A"	"folyosón"	"szemben"	2	1
"elnökét"	"hogy"	"ma"	"este"	"jojjon"	"be"	"a"	"szanatóriumba"	"Olyan"	2	3
"sebész"	"lehess"	"Nem"	"tudok"	"allandoan"	"újságírókat"	"és"	"családtagokat"	"leszerelni"	2	4
"azt"	"mutatta"	"-"	"Itt"	"arrol"	"van"	"szó"	"hogy"	"Torbágy"	1	2
"nővér"	"intézkedjék"	"hogy"	"a"	"gorog"	"herceg"	"brómot"	"kapjon"	"mert"	1	1
"megkérdezi"	"az"	"ágy"	"mellett"	"ulo"	"kövér"	"öreg"	"nőt"	"hogy"	4	3
"ha"	"nem"	"hal"	"meg"	"rogton"	"Udvarhelyitől"	"Pálosig"	"mindenki"	"ott"	4	0
"betegnél"	"konzultál"	"Torbágy"	"a"	"foszerkeszto"	"tizenhetedik"	"ekcémáját"	"nyitja"	"meg"	1	4
"beszélgetést!"	"Telefonon"	"mondta"	"hogy"	"hozza"	"ide"	"a"	"hátsó"	"kapuhoz"	3	1
"Annát"	"el"	"kell"	"venned"	"felesegul"	"Nem"	"lehet"	"harmincezer"	"pengőt"	4	0
"játék"	"a"	"boszorkánymestertől"	"Mikor"	"egyedul"	"marad"	"odalép"	"melléje"	"Anna"	1	4
"nincs"	"az"	"épületben"	"Ha"	"jovo"	"héten"	"Párizsból"	"ír"	"küldök"	1	3
"Hívják"	"vissza!"	"Torbágy!"	"Azonnal"	"menjenek"	"a"	"128-ba!"	"A"	"főhercegnőt"	1	2
"egy"	"másodpercre"	"se"	"hagyjátok"	"egyedul"	"amíg"	"nem"	"jövök!"	"Halló!"	4	3
"Mindenki"	"marad"	"Egy"	"ápolónő"	"forro"	"vizet"	"hoz"	"Azután"	"Wallenstein"	2	2
"máris"	"próbálja"	"Reggel"	"ötkor"	"egyedul"	"ingujjban"	"halálosan"	"kimerülten"	"még"	2	1
"ingujjban"	"halálosan"	"kimerülten"	"még"	"mindig"	"dörzsöli"	"és"	"a"	"szív"	1	1
"ablakon"	"langyos"	"sárga"	"világosság"	"terul"	"szét"	"és"	"a"	"princessz"	2	1
"helyezi"	"Mindenki"	"kimegy"	"a"	"szobabol"	"És"	"már"	"nem"	"is"	3	0
